,latitude,longitude
0,40.6180428072,-73.9843740933
1,40.7360406988,-74.0008661487
2,40.7637040604,-73.9141015546
3,40.719220418,-73.9913697305
4,40.7501568121,-73.9727770497
5,40.8053924449,-73.9545584248
6,40.7555310486,-73.9757810515
7,40.7394546612,-73.988496562
8,40.833669146,-73.9449495037
9,40.7551592162,-73.9826528393
10,40.5929038536,-73.940292061
11,40.7526143905,-73.9041982549
12,40.764192689,-73.9807977586
13,40.767540972,-73.9850349466
14,40.5859185212,-73.951553628
15,40.8484002242,-73.9326707135
16,40.8335108873,-73.8590425541
17,40.751205009,-73.9872753683
18,40.641734845,-73.9368033039
19,40.7639672369,-73.9843847983
20,40.5764058434,-73.9677173283
21,40.6080905635,-74.002878953
22,40.7514198726,-73.9718522595
23,40.6950322171,-73.9941388873
24,40.8589575226,-73.897732883
25,40.7407734124,-74.0069702697
26,40.7607884864,-73.9735655342
27,40.7899437151,-73.9734941652
28,40.7583470316,-73.783494174
29,40.6051147158,-73.9780621124
30,40.6205349381,-73.9892943345
31,40.8447600891,-73.8306818105
32,40.7611083884,-73.8039586223
33,40.6784654895,-73.8683171188
34,40.6470512755,-74.0083911364
35,40.7074785406,-73.9550192655
36,40.7414389421,-73.9934443094
37,40.7754645387,-73.9475853814
38,40.7479297537,-73.8687339659
39,40.8534218984,-73.8273186892
40,40.677375083,-73.9797238272
41,40.651773883,-73.9297325274
42,40.7166907559,-73.9914554165
43,40.7035173861,-73.8148500575
44,40.7501257533,-73.8628792228
45,40.6199007895,-74.0279232143
46,40.6390169868,-73.9941155117
47,40.7169411546,-73.995778993
48,40.746936889,-73.9974345985
49,40.6330102821,-73.9835570241
50,40.7576719822,-73.7924120481
51,40.5966085753,-73.977109363
52,40.7292112734,-74.0051103115
53,40.7744067069,-73.9541505277
54,40.7140333013,-74.0087730625
55,40.7176049706,-74.0013937431
56,40.7287521403,-73.8593111443
57,40.6156324599,-74.0313996958
58,40.6128499671,-74.1265467804
59,40.7485071941,-73.8926134511
60,40.7323231723,-73.8489609053
61,40.7361998903,-73.9942757748
62,40.7568127001,-73.9691144363
63,40.8357133833,-73.9434606817
64,40.7216822527,-73.8670164429
65,40.6044656095,-73.9693028891
66,40.7612525985,-73.9857127338
67,40.7048510849,-73.8960377469
68,40.6357769114,-73.9633531094
69,40.6201185412,-73.9457026271
70,40.8426008352,-73.942180085
71,40.7617559542,-73.9769664595
72,40.8809656286,-73.9037968108
73,40.7270947773,-73.9886454291
74,40.6105054294,-74.0078467125
75,40.709823908,-73.8185447378
76,40.727390434,-73.8934509589
77,40.7610722072,-73.8322985803
78,40.6815285546,-73.9940513231
79,40.7342794428,-73.9802952788
80,40.6897596369,-73.8151135977
81,40.8479923214,-73.9377424701
82,40.6434259383,-73.9784113766
83,40.6769005741,-73.9721323138
84,40.7625651664,-73.80389853
85,40.8321238798,-73.8511974163
86,40.7785815802,-73.9482783231
87,40.7294590385,-73.7811856519
88,40.6322396435,-73.9522379095
89,40.7537809759,-73.9892783628
90,40.7262398977,-73.7898949971
91,40.7547535081,-73.9739485453
92,40.6865154134,-73.9824237351
93,40.7006639543,-73.9039452514
94,40.5768919042,-73.9659976774
95,40.7445069001,-73.9944268425
96,40.7476631398,-73.8628399139
97,40.6159559643,-74.1027672014
98,40.8245654604,-73.8204348221
99,40.8733591509,-73.8783590757
100,40.7199931142,-73.9934820278
101,40.5959024054,-73.9813111588
102,40.719832278,-73.8097001732
103,40.7727605079,-73.9525242028
104,40.5747550578,-73.9737630631
105,40.7174648482,-73.9983146259
106,40.6989115405,-73.9178452862
107,40.693236428,-73.9672844856
108,40.6330527472,-74.0121960797
109,40.731074238,-73.9900115787
110,40.7289594118,-73.9847586088
111,40.8964993,-73.8555463424
112,40.8285283874,-73.8786462367
113,40.7013964711,-73.8052914145
114,40.6192688484,-73.9227353369
115,40.6832047865,-73.9929157868
116,40.7559245064,-73.9886299623
117,40.7429090166,-73.9870324895
